"Outcome","ID","bp_genA","bp_genT","bp_genC","bp_genG","bp_genome_total","fr_genA","fr_genT","fr_genC","fr_genG","genomic_topological_entropy_score","genomic_chargaff_score_pf","genomic_chargaff_score_ct","genomic_shannon_score","n_cds_plus","n_cds_minus","n_cds_total","bp_cdsA","bp_cdsT","bp_cdsC","bp_cdsG","bp_cds_total","fr_cdsA","fr_cdsT","fr_cdsC","fr_cdsG","cds_topological_entropy_score","cds_chargaff_score_pf","cds_chargaff_score_ct","cds_shannon_score","n_ncRNA_plus","n_ncRNA_minus","n_ncRNA_total","bp_ncRNA_A","bp_ncRNA_T","bp_ncRNA_C","bp_ncRNA_G","bp_ncRNA_total","fr_ncRNA_A","fr_ncRNA_T","fr_ncRNA_C","fr_ncRNA_G","ncRNA_topological_entropy_score","ncRNA_chargaff_score_pf","ncRNA_chargaff_score_ct","ncRNA_shannon_score","n_tRNA_plus","n_tRNA_minus","n_tRNA_total","bp_tRNA_A","bp_tRNA_T","bp_tRNA_C","bp_tRNA_G","bp_tRNA_total","fr_tRNA_A","fr_tRNA_T","fr_tRNA_C","fr_tRNA_G","tRNA_topological_entropy_score","tRNA_chargaff_score_pf","tRNA_chargaff_score_ct","tRNA_shannon_score","n_rRNA_plus","n_rRNA_minus","n_rRNA_total","bp_rRNA_A","bp_rRNA_T","bp_rRNA_C","bp_rRNA_G","bp_rRNA_total","fr_rRNA_A","fr_rRNA_T","fr_rRNA_C","fr_rRNA_G","rRNA_topological_entropy_score","rRNA_chargaff_score_pf","rRNA_chargaff_score_ct","rRNA_shannon_score"
"Archaea","NC_006396",589963,588697,976764,976300,3131724,0.19,0.19,0.31,0.31,0.94,0.0013,0.9987,1.9554,1543,1623,3166,539101,458652,855150,869237,2722140,0.2,0.17,0.31,0.32,0.8885,0.1857,0.84,1.9375,1,1,2,138,104,265,287,794,0.17,0.13,0.33,0.36,0.8785,0.17,0.8526,1.8812,26,22,48,650,723,1086,1196,3655,0.18,0.2,0.3,0.33,0.8748,0.1655,0.8553,1.9399,3,3,6,2271,1658,2317,2806,9052,0.23,0.17,0.28,0.31,0.909,0.2231,0.8024,1.9596
"Archaea","NZ_CP119789",554311,556340,1042662,1036843,3190156,0.17,0.17,0.33,0.33,0.9284,0.0046,0.9954,1.9324,1629,1587,3216,494825,422083,908091,895125,2720124,0.18,0.16,0.33,0.33,0.8751,0.1924,0.8352,1.9079,1,1,2,131,99,244,262,736,0.18,0.14,0.33,0.36,0.8753,0.1716,0.8534,1.8902,23,24,47,638,707,1061,1170,3576,0.18,0.2,0.3,0.33,0.8745,0.1807,0.8462,1.9377,3,3,6,2250,1649,2321,2824,9044,0.23,0.17,0.28,0.32,0.9094,0.2153,0.8084,1.959
"Archaea","NZ_CP073366",582114,581105,963645,966860,3093724,0.19,0.19,0.31,0.31,0.9403,0.0025,0.9975,1.9552,1624,1508,3132,537240,457840,851717,865947,2712744,0.2,0.17,0.31,0.32,0.8886,0.1868,0.8392,1.9375,1,1,2,135,97,253,279,764,0.17,0.13,0.33,0.37,0.8799,0.1994,0.8313,1.8774,22,25,47,642,704,1068,1170,3584,0.18,0.2,0.3,0.33,0.8747,0.1589,0.8601,1.9406,3,3,6,2279,1669,2306,2798,9052,0.23,0.17,0.28,0.32,0.9092,0.2196,0.8058,1.9579
"Archaea","NZ_CP010529",635177,632415,1078524,1077028,3423144,0.19,0.18,0.32,0.31,0.9429,0.0029,0.9971,1.9509,1677,1692,3369,573215,481267,937062,943011,2934555,0.2,0.17,0.32,0.32,0.8855,0.1889,0.8375,1.9308,1,1,2,139,100,264,285,788,0.17,0.13,0.33,0.36,0.8792,0.1884,0.841,1.8777,26,22,48,648,711,1086,1191,3636,0.18,0.19,0.3,0.33,0.8752,0.1647,0.8563,1.9392,3,6,9,3399,2476,3463,4226,13564,0.23,0.17,0.28,0.32,0.9085,0.2257,0.8006,1.9568
"Archaea","NZ_CP078063",568113,568224,955512,957030,3048879,0.19,0.19,0.31,0.31,0.9328,9e-04,0.9991,1.9527,1536,1543,3079,521597,443519,876105,819155,2660376,0.2,0.17,0.32,0.31,0.881,0.2004,0.8278,1.9343,1,1,2,134,92,210,239,675,0.2,0.14,0.31,0.35,0.8798,0.2416,0.7932,1.9076,24,31,55,746,829,1207,1345,4127,0.18,0.2,0.29,0.33,0.8741,0.1749,0.8471,1.9421,3,3,6,2296,1692,2256,2774,9018,0.24,0.19,0.27,0.3,0.9118,0.201,0.8207,1.9746
"Archaea","NZ_CP104741",456780,458271,929197,932512,2776760,0.16,0.17,0.33,0.34,0.9158,0.0034,0.9966,1.9145,1407,1417,2824,409784,356580,843486,779365,2389215,0.17,0.15,0.35,0.33,0.8662,0.2087,0.822,1.8923,1,1,2,135,92,242,271,740,0.18,0.13,0.33,0.37,0.8728,0.2329,0.8021,1.88,22,33,55,748,838,1220,1352,4158,0.18,0.2,0.29,0.33,0.8755,0.1659,0.8544,1.9454,3,3,6,2301,1686,2274,2759,9020,0.24,0.19,0.27,0.3,0.912,0.212,0.8103,1.9748
"Archaea","NZ_CP039139",574544,571942,899965,902436,2948887,0.19,0.19,0.31,0.31,0.9382,0.0036,0.9964,1.964,1506,1436,2942,506114,436557,802606,756483,2501760,0.2,0.18,0.32,0.3,0.8857,0.1949,0.832,1.9454,1,1,2,146,102,232,263,743,0.19,0.14,0.31,0.35,0.8879,0.2261,0.8039,1.908,23,33,56,769,848,1227,1376,4220,0.18,0.2,0.29,0.33,0.8735,0.1711,0.8503,1.9437,3,3,6,2329,1708,2248,2733,9018,0.24,0.19,0.27,0.3,0.9158,0.1863,0.8342,1.9749
"Archaea","NC_013967",471312,478740,949455,948250,2847757,0.17,0.17,0.33,0.33,0.9171,0.0085,0.9916,1.9186,1395,1472,2867,421165,364246,846554,783647,2415612,0.17,0.15,0.35,0.33,0.8673,0.2079,0.8225,1.8951,1,1,2,136,93,241,270,740,0.18,0.13,0.32,0.36,0.8761,0.2324,0.8026,1.8835,28,25,53,720,806,1181,1304,4011,0.18,0.2,0.3,0.33,0.8763,0.1649,0.8548,1.9451,3,3,6,2300,1692,2272,2756,9020,0.24,0.19,0.27,0.3,0.9123,0.1997,0.8212,1.9768
"Archaea","NZ_CVUA01000001",456390,452700,963629,963139,2835858,0.16,0.16,0.34,0.34,0.9164,0.0043,0.9957,1.905,1433,1388,2821,419395,361060,835733,866003,2482191,0.17,0.15,0.33,0.35,0.8675,0.1983,0.831,1.8866,1,1,2,117,70,237,259,683,0.17,0.1,0.35,0.38,0.8525,0.2815,0.7716,1.8296,19,27,46,617,686,1030,1138,3471,0.18,0.2,0.3,0.33,0.8689,0.1982,0.8319,1.9367,3,3,6,2208,1614,2334,2856,9012,0.23,0.17,0.27,0.32,0.9129,0.2174,0.807,1.964
"Archaea","NZ_CP100404",571098,577198,1105637,1103840,3357773,0.17,0.17,0.33,0.33,0.922,0.0061,0.9939,1.9267,1678,1757,3435,541951,452349,1001582,983469,2979351,0.18,0.15,0.33,0.33,0.8736,0.2012,0.8285,1.9069,1,1,2,131,87,236,257,711,0.18,0.12,0.33,0.36,0.8726,0.2401,0.8006,1.8785,25,22,47,640,702,1066,1168,3576,0.18,0.2,0.3,0.33,0.8771,0.1605,0.8598,1.9407,3,6,9,3404,2475,3471,4213,13563,0.23,0.18,0.28,0.31,0.9078,0.2005,0.8211,1.9649
"Archaea","NZ_CP119794",585835,588240,1167474,1160937,3502486,0.17,0.17,0.33,0.33,0.9258,0.0049,0.9952,1.9202,1660,1626,3286,444987,385023,864787,852257,2547054,0.18,0.15,0.33,0.33,0.8713,0.1956,0.8335,1.8975,1,1,2,128,94,230,256,708,0.18,0.14,0.32,0.36,0.8776,0.2016,0.8328,1.8874,23,23,46,615,681,1050,1151,3497,0.18,0.19,0.3,0.33,0.8728,0.1824,0.845,1.9346,3,3,6,2230,1639,2338,2835,9042,0.23,0.17,0.28,0.32,0.9074,0.2029,0.8192,1.9567
"Archaea","NC_013202",534913,534190,1019153,1022231,3110487,0.17,0.17,0.33,0.33,0.9278,0.0022,0.9978,1.9283,1530,1608,3138,485832,407809,891314,898314,2683269,0.18,0.15,0.33,0.33,0.8725,0.195,0.8336,1.9056,1,1,2,136,85,249,275,745,0.18,0.12,0.33,0.37,0.8731,0.2615,0.7936,1.8635,24,23,47,631,696,1069,1174,3570,0.18,0.19,0.3,0.33,0.8763,0.173,0.8489,1.9384,3,3,6,2216,1626,2332,2856,9030,0.23,0.17,0.28,0.32,0.9046,0.241,0.7903,1.9565
"Archaea","NZ_CP044129",536662,529754,1016709,1021989,3105114,0.17,0.17,0.33,0.33,0.9314,0.0091,0.991,1.9281,1610,1536,3146,482410,403943,887108,889537,2662998,0.18,0.16,0.33,0.33,0.8722,0.1964,0.8327,1.9055,1,1,2,138,89,246,271,744,0.18,0.12,0.33,0.36,0.8769,0.2423,0.8058,1.8742,19,29,48,643,709,1092,1201,3645,0.18,0.19,0.3,0.33,0.8763,0.1714,0.85,1.9379,3,3,6,2212,1612,2329,2874,9027,0.23,0.17,0.28,0.32,0.904,0.2296,0.7982,1.9572
"Archaea","NZ_AP017558",495554,496900,988913,986550,2967917,0.17,0.17,0.33,0.33,0.926,0.0026,0.9975,1.9194,1353,1420,2773,432128,379023,833440,852972,2497563,0.18,0.15,0.33,0.34,0.8683,0.1818,0.8435,1.8972,1,1,2,129,78,238,266,711,0.18,0.11,0.33,0.38,0.8541,0.289,0.7673,1.8516,21,42,63,845,932,1437,1596,4810,0.17,0.19,0.3,0.33,0.8792,0.1713,0.8497,1.9362,3,3,6,2233,1507,2427,2853,9020,0.24,0.16,0.28,0.32,0.9066,0.2766,0.7665,1.9513
"Archaea","NC_015666",624889,622902,1209106,1211112,3668009,0.17,0.17,0.33,0.33,0.9254,0.0024,0.9976,1.925,1742,1786,3528,563328,461697,1044636,1035693,3105354,0.18,0.15,0.33,0.33,0.8694,0.2014,0.8287,1.9049,1,1,2,141,91,292,308,832,0.17,0.11,0.35,0.37,0.8721,0.2378,0.7998,1.8469,21,29,50,676,754,1117,1231,3778,0.18,0.2,0.29,0.33,0.8732,0.1817,0.8419,1.943,6,4,10,3334,2453,3559,4306,13652,0.22,0.17,0.29,0.31,0.9071,0.2298,0.796,1.9561
"Archaea","NZ_CP034345",537706,538788,1108094,1107899,3292487,0.16,0.16,0.34,0.34,0.9263,0.0011,0.9989,1.9118,1608,1694,3302,481403,424204,977713,965288,2848608,0.17,0.15,0.34,0.34,0.8669,0.1959,0.8326,1.8864,1,1,2,128,86,254,279,747,0.17,0.12,0.34,0.37,0.8693,0.2223,0.8112,1.8498,20,28,48,640,699,1102,1205,3646,0.17,0.19,0.3,0.33,0.8689,0.1862,0.8407,1.9311,3,3,6,2165,1570,2434,2855,9024,0.22,0.16,0.29,0.32,0.9041,0.2225,0.8063,1.947
"Archaea","NZ_CP101823",569945,567003,1156473,1157484,3450905,0.17,0.16,0.34,0.34,0.9193,0.003,0.997,1.9144,1741,1713,3454,504028,443929,1016312,1004567,2968836,0.17,0.15,0.34,0.34,0.8676,0.1957,0.8326,1.889,1,1,2,129,86,254,278,747,0.17,0.12,0.34,0.37,0.8693,0.2235,0.8109,1.8508,27,21,48,638,699,1102,1207,3646,0.17,0.19,0.3,0.33,0.8689,0.1856,0.8411,1.9309,3,3,6,2171,1575,2427,2851,9024,0.22,0.16,0.29,0.32,0.9042,0.2226,0.8062,1.9473
"Archaea","NZ_CP039833",522496,526389,1002561,1000254,3051700,0.17,0.17,0.33,0.33,0.9293,0.0049,0.9952,1.9283,1523,1497,3020,470297,397159,867190,856157,2590803,0.18,0.16,0.33,0.33,0.8695,0.2046,0.8266,1.9065,1,1,2,137,85,224,243,689,0.2,0.13,0.32,0.35,0.8779,0.266,0.7856,1.8904,23,28,51,686,785,1123,1257,3851,0.18,0.2,0.29,0.33,0.8774,0.1908,0.8342,1.9438,3,3,6,2332,1616,2334,2740,9022,0.25,0.17,0.28,0.29,0.9025,0.3024,0.7424,1.9653
"Archaea","NC_008212",817890,815270,753590,745744,3132494,0.26,0.26,0.24,0.24,0.954,0.0068,0.9932,1.9987,1280,1332,2612,600431,566471,523995,592439,2283336,0.26,0.25,0.23,0.26,0.9046,0.179,0.8431,1.9856,1,1,2,167,124,190,228,709,0.23,0.18,0.27,0.32,0.9024,0.22,0.8126,1.9565,24,21,45,618,699,972,1113,3402,0.18,0.2,0.29,0.33,0.879,0.1723,0.848,1.9501,3,3,6,2322,1664,2387,2677,9050,0.24,0.18,0.27,0.31,0.9175,0.2037,0.8181,1.9751
"Archaea","NZ_CP073695",471462,468178,1041766,1040414,3021820,0.16,0.15,0.34,0.34,0.9146,0.0041,0.9959,1.8943,1452,1340,2792,398652,341215,839434,863008,2442309,0.16,0.14,0.34,0.35,0.8589,0.1935,0.8347,1.8708,1,1,2,113,66,215,230,624,0.18,0.11,0.34,0.37,0.861,0.287,0.7731,1.8447,20,28,48,651,720,1073,1176,3620,0.18,0.2,0.3,0.32,0.8751,0.1758,0.8483,1.9425,3,3,6,2249,1563,2372,2837,9021,0.25,0.16,0.27,0.31,0.9046,0.2697,0.7724,1.962
"Archaea","NZ_CP095491",673200,677238,1278099,1278281,3906818,0.17,0.17,0.33,0.33,0.9245,0.0031,0.9969,1.9301,1860,1852,3712,582311,496238,1062483,1071263,3212295,0.18,0.16,0.33,0.33,0.8705,0.1868,0.8397,1.9112,1,1,2,156,95,279,296,826,0.18,0.12,0.34,0.36,0.8741,0.2562,0.7884,1.8689,26,24,50,672,751,1118,1226,3767,0.18,0.2,0.3,0.33,0.8759,0.1787,0.8443,1.9403,7,3,10,3358,2421,3549,4336,13664,0.23,0.16,0.3,0.31,0.8917,0.2652,0.7697,1.9468
"Archaea","NZ_CP094974",901248,908396,1624968,1624066,5058678,0.18,0.18,0.32,0.32,0.9334,0.0042,0.9958,1.9408,2450,2346,4796,766421,649263,1333427,1346243,4095354,0.19,0.16,0.32,0.33,0.8746,0.1874,0.839,1.92,1,1,2,147,100,271,278,796,0.18,0.13,0.34,0.35,0.8785,0.204,0.8255,1.884,26,24,50,689,750,1126,1222,3787,0.18,0.2,0.3,0.32,0.8735,0.1691,0.8523,1.9448,3,3,6,2196,1614,2346,2878,9034,0.22,0.17,0.29,0.32,0.9031,0.2207,0.8032,1.95
"Archaea","NZ_CP122312",542108,539910,1047916,1046759,3176793,0.17,0.17,0.33,0.33,0.9238,0.0026,0.9974,1.9254,1572,1626,3198,487789,412314,945482,872760,2718345,0.18,0.15,0.34,0.32,0.8677,0.2158,0.816,1.9017,1,2,3,132,93,270,298,793,0.17,0.12,0.34,0.37,0.8701,0.2067,0.825,1.8602,27,27,54,732,797,1206,1327,4062,0.18,0.2,0.3,0.33,0.8714,0.185,0.8425,1.9396,6,3,9,3339,2364,3501,4327,13531,0.23,0.17,0.29,0.32,0.9003,0.2523,0.778,1.9542
"Archaea","NZ_FOZS01000002",222502,222261,378701,378721,1202185,0.19,0.18,0.32,0.32,0.9327,6e-04,0.9994,1.9506,629,593,1222,196804,161947,319594,324978,1003323,0.2,0.17,0.31,0.32,0.8772,0.1934,0.8345,1.9299,1,1,2,139,82,256,271,748,0.18,0.11,0.34,0.36,0.8805,0.2783,0.7734,1.8593,15,8,23,307,358,496,560,1721,0.18,0.21,0.29,0.33,0.881,0.2098,0.8213,1.9478,2,2,4,160,111,183,183,637,0.24,0.18,0.29,0.29,0.8746,0.1892,0.8448,1.9628
"Archaea","NZ_CP007055",532019,529397,864818,863092,2789326,0.19,0.19,0.31,0.31,0.9345,0.0035,0.9965,1.9584,1403,1408,2811,474665,390397,732971,744790,2342823,0.21,0.17,0.31,0.32,0.8812,0.1958,0.8327,1.9388,1,1,2,145,101,234,270,750,0.19,0.14,0.31,0.36,0.8846,0.2355,0.7964,1.8996,28,19,47,649,723,1042,1145,3559,0.18,0.2,0.29,0.32,0.876,0.183,0.8405,1.9466,3,3,6,2251,1712,2248,2824,9035,0.23,0.19,0.27,0.31,0.9072,0.188,0.8325,1.9688
"Archaea","NZ_CP069188",741780,731963,1351438,1355137,4180318,0.18,0.18,0.32,0.32,0.9305,0.008,0.992,1.9363,2060,1982,4042,635233,533828,1141147,1129448,3439656,0.19,0.16,0.33,0.33,0.8732,0.1943,0.834,1.9131,2,1,3,162,104,278,283,827,0.2,0.14,0.33,0.34,0.88,0.2072,0.8249,1.9058,21,33,54,752,823,1215,1326,4116,0.18,0.2,0.29,0.32,0.8767,0.1673,0.8539,1.9461,7,6,13,4472,3300,4677,5745,18194,0.21,0.17,0.29,0.32,0.9005,0.1881,0.8324,1.9465
"Archaea","NC_013743",661307,667447,1280974,1279310,3889038,0.17,0.17,0.33,0.33,0.9241,0.0053,0.9948,1.9264,1818,1868,3686,578287,485677,1085047,1073478,3222489,0.18,0.15,0.33,0.33,0.8701,0.1921,0.8358,1.9066,1,1,2,149,94,268,274,785,0.19,0.12,0.34,0.35,0.8741,0.2506,0.7903,1.878,31,19,50,689,756,1105,1211,3761,0.18,0.2,0.29,0.32,0.8825,0.1694,0.8518,1.9469,6,4,10,3368,2473,3526,4309,13676,0.22,0.17,0.3,0.32,0.8936,0.2154,0.8076,1.9435
"Archaea","NC_019964",574240,575522,1036548,1037566,3223876,0.18,0.18,0.32,0.32,0.9305,0.0016,0.9984,1.9399,1468,1584,3052,504372,434286,890329,873677,2702664,0.19,0.16,0.33,0.32,0.8768,0.1835,0.8413,1.9216,1,1,2,143,94,247,276,760,0.18,0.13,0.33,0.36,0.8714,0.2337,0.8044,1.8776,23,23,46,642,692,1024,1124,3482,0.18,0.2,0.3,0.32,0.8704,0.171,0.8508,1.9445,3,3,6,2169,1645,2334,2884,9032,0.23,0.17,0.29,0.32,0.9122,0.2546,0.7769,1.9551
"Archaea","NZ_CP131059",640626,649411,451421,451755,2193213,0.29,0.3,0.21,0.21,0.9334,0.0072,0.9929,1.9774,769,833,1602,433959,377752,312579,339143,1463433,0.3,0.26,0.21,0.23,0.8841,0.2287,0.8078,1.9611,1,1,2,173,147,147,214,681,0.25,0.22,0.22,0.32,0.9082,0.27,0.7696,1.9763,24,24,48,668,787,993,1168,3616,0.18,0.22,0.27,0.32,0.8818,0.1974,0.8253,1.9571,6,3,9,3530,2888,3124,4049,13591,0.24,0.21,0.25,0.3,0.9032,0.1729,0.8438,1.9812
"Archaea","NZ_CP014265",803111,805260,296317,296504,2201192,0.36,0.37,0.13,0.13,0.9158,0.0017,0.9984,1.8405,877,818,1695,564022,493501,183808,274089,1515420,0.38,0.32,0.12,0.18,0.871,0.3208,0.7369,1.8551,1,1,2,183,165,99,149,596,0.31,0.28,0.17,0.25,0.8987,0.3491,0.7059,1.9543,12,22,34,481,548,707,830,2566,0.19,0.21,0.28,0.32,0.8851,0.2016,0.8241,1.9533,4,3,7,2220,2561,1776,2818,9375,0.2,0.32,0.19,0.29,0.8986,0.4427,0.6651,1.9366
"Archaea","NC_013790",985807,992664,479517,479215,2937203,0.34,0.34,0.16,0.16,0.9336,0.0038,0.9962,1.9112,1003,1013,2016,720277,591481,332237,420176,2064171,0.35,0.29,0.15,0.21,0.8859,0.2832,0.7627,1.9145,1,1,2,176,161,101,159,597,0.3,0.27,0.17,0.27,0.9054,0.3623,0.6978,1.9625,11,43,54,827,936,1082,1287,4132,0.2,0.23,0.26,0.31,0.8868,0.2003,0.8262,1.9616,3,4,7,2249,2392,1849,2807,9297,0.21,0.3,0.2,0.29,0.9161,0.3621,0.7142,1.9589
"Archaea","NZ_CP009149",555165,557455,247771,247165,1607556,0.35,0.35,0.15,0.15,0.92,0.0033,0.9967,1.8907,755,792,1547,522280,402532,147077,272171,1344060,0.39,0.3,0.11,0.2,0.8691,0.4544,0.6451,1.851,1,1,2,116,94,161,204,575,0.2,0.16,0.28,0.35,0.8974,0.2216,0.803,1.9351,8,29,37,466,498,951,983,2898,0.16,0.17,0.33,0.34,0.8669,0.1759,0.8478,1.906,2,4,6,1924,1375,2609,3291,9199,0.2,0.14,0.31,0.35,0.8862,0.295,0.7513,1.9058
